Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
101,1484,The Stories of Anton Chekhov,Anton Chekhov,1900,Russian,Russian,460,,101,1911,"Drama, Fiction, Literary Fiction, Short Story Collection, Social & Cultural Fiction","Bureaucracy, Despair, Existentialism, Family, Family dynamics, History, Hope, Love, Marriage, Mortality, Social Class, human nature, isolation",Russia
102,2583,Walden,Henry David Thoreau,1854,American,English,200-350,114000,102,1896,"Nonfiction, Pastoral, Religion & Spirituality, Travel, philosophical","History, Individualism, Nature, Reflection, Self-reliance, Simplicity, Solitude, Transcendentalism, economy","Massachusetts, United States, Walden Pond"
103,121,The Color Purple,Alice Walker,1982,American,English,250-350,66000,103,1867,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Social & Cultural Fiction","Empowerment, Family, Family dynamics, Friendship, Identity, Racism, Resilience, Sexism, Sisterhood, abuse","Georgia, Southern US, United States"
104,61,Native Son,Richard Wright,1940,American,English,350-500,100000,104,1851,"Fiction, Literary Fiction, Political, Psychological, Social & Cultural Fiction, Tragedy","Alienation, History, Identity, Justice, Poverty, Racism, Violence, fear, oppression","Chicago, Illinois, United States"
105,206,Vanity Fair,William Makepeace Thackeray,1847,British,English,900-1000,346089,105,1849,"Fiction, Literary Fiction, Satire, Social & Cultural Fiction, Victorian","Ambition, Deception, Family, Friendship, Marriage, Society, Wealth, class, morality, vanity","England, London, United Kingdom"
106,470,The Man Without Qualities,Robert Musil,1930,Austrian,German,1000-2000,177000,106,1833,"Fiction, Literary Fiction, Modernist, Picaresque, Postmodern, Social & Cultural Fiction, philosophical","Modernity, Philosophy, Politics, Psychology, Science, Society, morality, relationships","Austria, Latin American, Vienna"
107,336,Treasure Island,Robert Louis Stevenson,1883,British,English,192,66922,107,1825,"Adventure, Fiction, Mystery, Sailors & The Sea, Victorian","Betrayal, Courage, Friendship, Loyalty, Piracy, greed, treasure","Fictional Location, Ireland"
108,15,Brideshead Revisited,Evelyn Waugh,1945,British,English,300-400,142000,108,1806,"Coming of age, Drama, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Faith, Family, Family dynamics, Friendship, Love, Nostalgia, Upper class, alcoholism, class, relationships","England, Oxford, United States"
109,562,Bleak House,Charles Dickens,1852,British,English,800-1000,360000,109,1790,"Fiction, Gothic, Historical fiction, Literary Fiction, Mystery, Victorian","Charity, Death, Disease, Family, Inheritance, Inheritance and succession, Justice, Law, Marriage, Social Class, corruption, orphans, secrets","England, Europe, London"
110,2028,The Long Goodbye,Raymond Chandler,1953,American,English,250-400,96000,110,1787,"Crime, Fiction, Hard Boiled, Mystery, noir","Deception, Despair, Detective, Friendship, Loyalty, Murder, Wealth, alcoholism, corruption","California, Los Angeles, United States"
111,469,The Tale of Genji,Murasaki Shikibu,1001,Japanese,Classical japanese,1000-1200,267000,111,1782,"Coming of age, Drama, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Beauty, Betrayal, Court Life, Family, Identity, Impermanence, Love",Japan
112,265,The Tin Drum,Günter Grass,1959,German,German,500-600,203000,112,1778,"Allegorical, Dark, Fiction, Literary Fiction, Magical Realism, Postmodern, Satire","Love, Madness, Music, People with disabilities, Politics, War, World War II, rebellion","Danzig, Germany, Latin American, Poland"
113,601,Antigone,Sophocles,-441,Greek,Ancient greek,80,12000,113,1775,"Drama, Fiction, Mythological, Plays, Tragedy, philosophical","Death, Duty, Family, Honor, Justice, Law, Loyalty, conflict, rebellion","Greece, Thebes"
114,955,The Hound of the Baskervilles,Arthur Conan Doyle,1902,British,English,174-256,59860,114,1764,"Crime, Fiction, Gothic, Horror, Mystery, Speculative Fiction, Victorian","Death, Deception, Detective, Inheritance, Investigation, Superstition, fear","Dartmoor, England"
115,1163,Waiting for Godot,Samuel Beckett,1953,Irish,French,60-128,30000,115,1761,"Absurdist, Fiction, Literary Fiction, Plays, Postmodern, philosophical","Despair, Existentialism, Hope, Human Condition, Suffering, Time, Waiting",Fictional Location
116,434,The Talented Mr. Ripley,Patricia Highsmith,1955,American,English,250-300,89000,116,1746,"Crime, Fiction, Mystery, Psychological, Thriller & Suspense, noir","Ambition, Deception, Friendship, Impersonation, Jealousy, Murder, Psychopathy, Wealth","France, Great Britain, Italy, New York, United States"
117,11674,Pedro Páramo,Juan Rulfo,1955,Mexican,Spanish,120-200,23000,117,1745,"Fiction, Literary Fiction, Magical Realism, Modernist, Social & Cultural Fiction","Death, Despair, Family, Ghosts, Guilt, Memory, Power, Revenge, corruption, secrets",Fictional Location
118,111,The Wind in the Willows,Kenneth Grahame,1908,British,English,240-320,58500,118,1743,"Adventure, Children's books, Fiction, Literary Fiction, Pastoral","Animals, Country life, Family, Friendship, Home, Juvenile, Loyalty, Nature, Seasons, change","England, Fictional Location"
119,12,The Big Sleep,Raymond Chandler,1939,American,English,200-300,69000,119,1739,"Crime, Fiction, Hard Boiled, Mystery, noir","Addiction, Blackmail, Deception, Detective, Family, Murder, Wealth, corruption","California, Los Angeles, United States"
120,1377,The Bell Jar,Sylvia Plath,1963,American,English,200-300,84000,120,1726,"Coming of age, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, Tragedy","Ambition, Conformity, Identity, Psychology & Mental Health, Society, Women's Studies, depression, isolation","Massachusetts, New York, New York City, United States"
121,134,A Farewell to Arms,Ernest Hemingway,1929,American,English,300-500,67000,121,1723,"Fiction, Historical fiction, Literary Fiction, Tragedy, military fiction","Courage, Despair, Friendship, Hope, Loss, Love, Medicine, War, World War I, relationships","Italy, New York, Switzerland"
122,324,The Canterbury Tales,Geoffrey Chaucer,1400,British,Middle english,300-500,120000,122,1721,"Allegorical, Anthologies, Fiction, Historical fiction, Literary Fiction, Poetry","Chivalry, Deception, Pilgrimage, Social Class, Storytelling, corruption, morality","Canterbury, England"
123,482,King Lear,William Shakespeare,1608,British,English,100-200,26147,123,1719,"Drama, Fiction, Literary Fiction, Tragedy, philosophical","Betrayal, Blindness, Family, Family dynamics, Inheritance, Inheritance and succession, Justice, Loyalty, Madness, Nobility, Power, Revenge, Suffering","England, Fictional Location"
124,416,Paradise Lost,John Milton,1667,British,English,200-500,80000,124,1716,"Allegorical, Fiction, Good and evil, Mythological, Poetry, epic","Christianity, Free will, Justice, Obedience, Redemption, Sin, Temptation, rebellion","Fictional Location, Providence"
125,40,The Heart Is A Lonely Hunter,Carson McCullers,1940,American,English,300-400,121960,125,1709,"Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Tragedy","Alienation, Communication, Despair, Friendship, History, Hope, Identity, Racism, isolation, loneliness","Georgia, Southern US, United States"
126,1980,First Folio,William Shakespeare,1623,British,English,900,884647,126,1698,"Drama, Fiction, Historical fiction, Literary Fiction, Plays, Tragedy","Ambition, Betrayal, Family, Fate, Friendship, Honor, Identity, Jealousy, Love, Madness, Power, Revenge","England, Great Britain, Italy, Russia, United Kingdom"
127,177,The Maltese Falcon,Dashiell Hammett,1930,American,English,213-224,59000,127,1696,"Crime, Fiction, Hard Boiled, Mystery, noir","Betrayal, Deception, Investigation, Loyalty, Murder, Trust, artifacts, greed","California, San Francisco, United States"
128,449,Dead Souls,Nikolai Gogol,1842,Russian,Russian,300-550,84000,128,1693,"Fiction, Literary Fiction, Picaresque, Satire, philosophical","Bureaucracy, Deception, Society, Wealth, corruption, greed, human nature, morality",Russia
129,493,Memoirs of Hadrian,Marguerite Yourcenar,1951,French,French,300-400,72000,129,1683,"Fiction, Historical fiction, Literary Fiction, philosophical","Empire, European History, Friendship, History, Humanity, Identity, Leadership, Legacy, Mortality, Philosophy, Power, Wisdom","Asia Minor, Fictional Location, Greece, Italy, Roman, Rome"
130,262,The Plague,Albert Camus,1947,French,French,200-300,72000,130,1673,"Allegorical, Fiction, Literary Fiction, Social & Cultural Fiction, philosophical","Existentialism, Humanity, Mortality, Resilience, Solidarity, Suffering, isolation","Algeria, Oran"
131,20,A Clockwork Orange,Anthony Burgess,1962,British,English,192,64000,131,1669,"Dark, Dystopian, Fiction, Picaresque, Postmodern, Speculative Fiction, philosophical","Control, Free will, Government, Psychology, Rehabilitation, Teenagers, Violence, Youth, morality","England, Fictional Location"
132,500,The Unbearable Lightness of Being,Milan Kundera,1984,Czech,Czech,200-400,85000,132,1656,"Existentialist, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction, philosophical","Existentialism, Fate, Freedom, Identity, Infidelity, Love, Memory","Czech Republic, Prague"
133,2251,The Name of the Rose,Umberto Eco,1980,Italian,Italian,500-600,174000,133,1656,"Fiction, Gothic, Historical fiction, Mystery, Postmodern, philosophical","Books, Heresy, Inquisition, Knowledge, Libraries, Monasticism, Murder, Philosophy","Fictional Location, Italy"
134,2588,Doctor Faustus,Thomas Mann,1947,German,German,500-700,184000,134,1649,"Allegorical, Fiction, Historical fiction, Literary Fiction, Modernist, Psychological, philosophical","Artistic Creation, Despair, Faustian Bargain, Friendship, Genius, German Culture, Madness, Music, isolation, morality","Germany, Switzerland"
135,138,For Whom the Bell Tolls,Ernest Hemingway,1940,American,English,450-500,174632,135,1637,"Fiction, Historical fiction, Literary Fiction, Tragedy, military fiction","Betrayal, Courage, Death, Espionage, Freedom, Love, Loyalty, Sacrifice, Violence, War",Spain
136,1305,The Second Sex,Simone de Beauvoir,1949,French,French,800-1000,267000,136,1632,"Mythological, Nonfiction, Political, Social & Cultural Fiction, philosophical","Existentialism, Freedom, Gender and Sexuality, History, Identity, Marriage, Patriarchy, Sexuality, Women's Studies, Womens Studies, gender, oppression",France
137,330,Tess of the d'Urbervilles,Thomas Hardy,1891,British,English,400-500,151097,137,1619,"Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, Victorian","Family, Family dynamics, Fate, Injustice, Marriage, Nature, Purity, Social Class, gender roles, morality","England, Wessex"
138,3041,The Waste Land,T. S. Eliot,1922,British,English,64-88,434,138,1612,"Experimental, Fiction, Literary Fiction, Modernist, Poetry, philosophical","Death & Grief, Despair, Fragmentation, Identity, Modernity, Mythology, Rebirth",Fictional Location
139,1598,Macbeth,William Shakespeare,1606,British,English,100-150,17000,139,1595,"Fiction, Good and evil, Horror, Plays, Speculative Fiction, Tragedy","Ambition, Betrayal, Fate, Guilt, Madness, Power, Violence","England, Fictional Location, Scotland"
140,100,Wide Sargasso Sea,Jean Rhys,1966,British,English,120-200,64000,140,1590,"Fiction, Gothic, Historical fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Family, Love, Madness, Marriage, Power, colonialism, gender, isolation, race, relationships","Dominica, Jamaica, United Kingdom"
141,2560,Poems of Emily Dickinson,Emily Dickinson,1890,American,English,696,,141,1561,"Allegorical, Fiction, Literary Fiction, Modernist, Poetry, philosophical","Death & Grief, Faith, Identity, Immortality, Love, Nature, Time, isolation","Amherst, Massachusetts, United States"
142,152,Lady Chatterley's Lover,D. H. Lawrence,1928,British,English,300-400,114000,142,1542,"Banned books, Erotica, Fiction, Literary Fiction, Romance, Social & Cultural Fiction","Adultery, Industrialization, Love, Marriage, Nobility, Sexual behavior, Sexuality, class, disability, relationships","England, Great Britain, Nottinghamshire"
143,884,The Prince,Niccolo Machiavelli,1532,Italian,Italian,70-140,26000,143,1529,"Nonfiction, Political, philosophical","Deception, European History, Fortune, History, Leadership, Politics, Power, Rulership, Strategy, Virtue, War, human nature","Florence, Italy"
144,210,The Woman in White,Wilkie Collins,1860,British,English,500-700,264000,144,1517,"Fiction, Gothic, Mystery, Thriller & Suspense, Victorian","Deception, Identity, Justice, Madness, Marriage, Social Class, gender roles","England, London"
145,424,Doctor Zhivago,Boris Pasternak,1957,Russian,Russian,450-700,204000,145,1516,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, philosophical","Betrayal, Family, Love, Medicine, Politics, Revolution, Survival, War, World War I","Europe, Moscow, Russia, Soviet Union, Ural Mountains"
146,2472,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,1962,Russian,Russian,100-200,50000,146,1508,"Dystopian, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Speculative Fiction","Friendship, Hope, Human Dignity, Injustice, Political Ideologies, Resilience, Survival, isolation, oppression","Fictional Location, Russia, Siberia, Soviet Union"
147,104,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,British,English,150-200,46972,147,1501,"Absurdist, Fiction, Humor, Postmodern, Science fiction, Speculative Fiction","Aliens, Bureaucracy, Existentialism, Friendship, Philosophy, Robots, Survival, Technology","Fictional Location, Space, United States"
148,117,Harry Potter And The Philosopher's Stone,J. K. Rowling,1997,British,English,223-332,76944,148,1499,"Adventure, Coming of age, Fantasy, Fiction, High Fantasy, Middle Grade, Speculative Fiction","Courage, Good vs. Evil, Juvenile, Magic, School, Schools & Teaching, Witches, Wizards, orphans","England, Fictional Location"
149,435,The Complete Sherlock Holmes,Arthur Conan Doyle,1927,British,English,800-1200,608000,149,1498,"Crime, Fiction, Mystery, Thriller & Suspense, Victorian","Deception, Deduction, Detective, Friendship, Justice, Observation, human nature, logic","England, London"
150,168,Sons and Lovers,D. H. Lawrence,1913,British,English,400-500,153000,150,1491,"Coming of age, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction","Family, Family dynamics, Industrialization, Love, Mothers & Children, Psychology, Sexuality, class, conflict, relationships","England, Nottinghamshire"
151,202,The Charterhouse of Parma,Stendhal,1839,French,French,300-500,210000,151,1487,"Fiction, Historical fiction, Literary Fiction, Picaresque, Political","Ambition, Betrayal, Family, Honor, Imprisonment, Intrigue, Love, Politics, War","Italy, Parma"
152,194,Tom Jones,Henry Fielding,1749,British,English,800-1000,346733,152,1487,"Fiction, Historical fiction, Humor, Literary Fiction, Picaresque, Satire","Hypocrisy, Inheritance, Love, Marriage, Psychology & Mental Health, Virtue, class, morality, orphans","England, London"
153,445,A Sentimental Education,Gustave Flaubert,1869,French,French,300-500,145000,153,1484,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, philosophical","Ambition, Disillusionment, Education, Friendship, Love, Politics, Revolution, Society","France, Paris"
154,954,The Three Musketeers,Alexandre Dumas,1844,French,French,400-700,228000,154,1482,"Adventure, Fiction, Historical fiction, Mystery, Romance","Betrayal, Courage, Deception, Friendship, Honor, Intrigue, Loyalty, Revenge","France, Paris"
155,2663,Giovanni's Room,James Baldwin,1956,American,English,150-200,62000,155,1477,"Coming of age, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Cultural Conflict, History, Identity, Lgbtq+, Love, Self-discovery, Sexuality, Shame, isolation, relationships","France, Paris, United States"
156,67,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,American,English,320,104000,156,1475,"Banned books, Dark, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Authority, Conformity, Freedom, Individualism, Power Dynamics, Psychology & Mental Health, institutionalization, rebellion","Oregon, United States"
157,2255,And Then There Were None,Agatha Christie,1939,British,English,200-300,64312,157,1475,"Crime, Fiction, Mystery, Psychological, Thriller & Suspense","Deception, Guilt, Justice, Murder, Revenge, Survival, fear","England, Fictional Location"
158,2009,Fahrenheit 451,Ray Bradbury,1953,American,English,158-190,46000,158,1475,"Allegorical, Dystopian, Fiction, Science fiction, Speculative Fiction, philosophical","Alienation, Conformity, Freedom, Ignorance, Knowledge, Technology, censorship, rebellion",Fictional Location
159,156,Howards End,E. M. Forster,1910,British,English,320-400,111025,159,1475,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Connection, Family, Family dynamics, Identity, Inheritance, Marriage, Modernity, Sociology, class, gender roles","England, London"
160,48,Light in August,William Faulkner,1932,American,English,480-512,123672,160,1473,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Alienation, Community, Family, Guilt, Racism, Redemption, Southern Gothic, Violence, isolation","Jefferson, Mississippi, United States"
161,446,Love in the Time of Cholera,Gabriel García Márquez,1985,Colombian,Spanish,348,62000,161,1470,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Romance","Aging, Communication, Death, Disease, Infidelity, Love, Marriage, Memory, Obsession, Social Class","Caribbean, Colombia"
162,166,Tender Is the Night,F. Scott Fitzgerald,1934,American,English,260-400,104925,162,1469,"Drama, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction, Tragedy","Friendship, History, Infidelity, Love, Marriage, Mental illness, Psychiatry, Psychology & Mental Health, Social Class, Wealth, alcoholism","France, French riviera, Paris, Switzerland, United States"
163,320,Decameron,Giovanni Boccaccio,1353,Italian,Italian,800-1000,100000,163,1467,"Fiction, Humor, Literary Fiction, Picaresque, Satire, Short Story Collection, Social & Cultural Fiction","Death & Grief, Deception, Fortune, Love, Plague, Social Class, Storytelling, human nature, morality","Europe, Florence, Italy, Southern US"
164,1328,Steppenwolf,Hermann Hesse,1927,German,German,200-300,68000,164,1445,"Allegorical, Dark, Fiction, Literary Fiction, Postmodern, Psychological, philosophical","Alienation, Duality, Existentialism, Individualism, Love, Mental Health, Music, Society, Transformation","Germany, Switzerland, Zurich"
165,905,Confessions,Augustine,397,Roman,Latin,200-300,,165,1427,"Autobiography, Memoir, Nonfiction, Religion & Spirituality, philosophical","Catholicism, Christianity, Confession, Conversion, European History, Faith, Friendship, God, Grace, History, Memory, Redemption, Sin, Truth, human nature","Algeria, Hippo (Ancient City), Italy, Rome"
166,487,Confessions of Zeno,Italo Svevo,1923,Italian,Italian,400-500,126000,166,1422,"Fiction, Literary Fiction, Modernist, Postmodern, Psychological, Social & Cultural Fiction","Addiction, Business, Death, Family, Infidelity, Marriage, Psychoanalysis, Self-deception, Smoking, health","Italy, Trieste"
167,472,Metamorphoses,Ovid,8,Roman,Latin,200-800,250000,167,1390,"Ancient, Fiction, Mythological, Poetry, Retellings, epic","Divinity, History, Identity, Love, Mortality, Nature, Power, Revenge, Transformation","Fictional Location, Rome"
168,829,The Interpretation of Dreams,Sigmund Freud,1899,Austrian,German,600-700,203000,168,1381,"Counselling, Esoterica, Nonfiction, Psychological, philosophical","Dreams, Freudian Theory, History, History Of Science, Interpretation, Psychology & Mental Health, Repression, Science, Symbolism, Unconscious, Wish Fulfillment, academic","Austria, Vienna"
169,181,Lord Jim,Joseph Conrad,1900,British,English,300-500,78000,169,1381,"Adventure, Allegorical, Fiction, Literary Fiction, Modernist, Sailors & The Sea","Betrayal, Courage, Guilt, Honor, Leadership, Redemption, colonialism, isolation","Fictional Location, Germany, Malay Archipelago, Patna"
170,120,The Hobbit,J. R. R. Tolkien,1937,British,English,300-400,95022,170,1372,"Adventure, Children's books, Fantasy, Fiction, High Fantasy, Speculative Fiction","Courage, Friendship, Growth, Heroism, Home, Loyalty, greed",Fictional Location
171,76,"Rabbit, Run",John Updike,1960,American,English,250-350,121000,171,1370,"Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Tragedy","Death & Grief, Disillusionment, Escape, Freedom, Infidelity, Responsibility, realism, relationships","Mount Judge, Pennsylvania, Suburbia, United States"
172,1335,Man's Fate,Andre Malraux,1933,French,French,200-350,90000,172,1369,"Fiction, Historical fiction, Literary Fiction, Political, Tragedy, philosophical","Betrayal, Existentialism, Human Condition, Ideology, Politics, Revolution, Sacrifice, Terrorism, Violence, War","China, Shanghai"
173,75,The Prime of Miss Jean Brodie,Muriel Spark,1961,"British, Scottish",English,128-160,65000,173,1369,"Coming of age, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Betrayal, Conformity, Education, Friendship, Individualism, Manipulation, Politics, Teachers, World War II, morality","Edinburgh, Scotland"
174,106,Winnie the Pooh,A. A. Milne,1926,British,English,100-160,26000,174,1369,"Adventure, Children's books, Fiction, Humor, picture books","Animals, Classics, Friendship, Innocence, Juvenile, childhood, imagination",Fictional Location
175,2395,The Flowers of Evil,Charles Baudelaire,1857,French,French,100-200,,175,1367,"Allegorical, Dark, Fiction, Literary Fiction, Modernist, Poetry, philosophical","Beauty, Decay, Desire, Duality, Melancholy, Mortality, Nature, Suffering, Transgression, Urban Life","France, Paris"
176,886,On the Origin of Species,Charles Darwin,1859,British,English,502,155000,176,1352,"Encyclopedic, Nonfiction, Technical, philosophical","Adaptation, Environment, History, History Of Science, Inheritance, Life Sciences, Natural selection, Palaeontology, Science, Species, Survival, Variation, competition","Ecuador, Galapagos Islands, United Kingdom"
177,318,Fairy Tales and Stories,Hans Christian Andersen,1835,Danish,Danish,569,,177,1350,"Children's books, Fantasy, Fiction, Folklore & Fairy Tales, Short Story Collection, Speculative Fiction","Friendship, Identity, Innocence, Nature, Redemption, Suffering, Transformation, imagination, morality",Denmark
178,1402,A Wrinkle In Time,Madeleine L'Engle,1962,American,English,200-300,49565,178,1347,"Adventure, Fantasy, Fiction, Middle Grade, Science fiction, Speculative Fiction, Young adult","Conformity, Courage, Good vs. Evil, Individuality, Juvenile, Love, Science, Self-discovery, Siblings, Time travel",Fictional Location
179,87,The Spy Who Came in From the Cold,John le Carré,1963,British,English,200-300,62500,179,1343,"Fiction, Literary Fiction, Spy, Thriller & Suspense, noir","Betrayal, Cold War, Deception, Double Agents, Espionage, Intelligence Agencies, Loyalty, Manipulation, Sacrifice, morality","Berlin, Germany, Great Britain, United Kingdom"
180,908,If This Is a Man,Primo Levi,1947,Italian,Italian,100-200,38000,180,1337,"Cultural, Memoir, Nonfiction, Political, True Story","Dehumanization, History, Hope, Humanity, Identity, Jewish, Memory, Resilience, Suffering, Survival","Auschwitz, Italy, Poland"
181,538,Watership Down,Richard Adams,1972,British,English,400-500,156154,181,1328,"Adventure, Allegorical, Fantasy, Fiction, Pastoral, Speculative Fiction","Community, Courage, Freedom, Friendship, Leadership, Survival",Fictional Location
182,690,A Room of One's Own,Virginia Woolf,1929,British,English,112-148,37500,182,1317,"Modernist, Nonfiction, Social & Cultural Fiction, philosophical","Creativity, Economics, Education, Feminism, Gender and Sexuality, Patriarchy, Society, Women, Women's Studies, Womens Studies, gender, writing","England, Great Britain, Independence"
183,2410,Brighton Rock,Graham Greene,1938,British,English,200-300,67282,183,1300,"Crime, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, noir","Catholicism, Gangsters, Guilt, Murder, Redemption, Revenge, Teenagers, Violence, fear, morality","Brighton, England"
184,72,Portnoy's Complaint,Philip Roth,1969,American,English,200-300,78500,184,1285,"Adult, Fiction, Literary Fiction, Satire, Social & Cultural Fiction","Adolescence, Desire, Family, Guilt, Jewish Identity, Jews, Psychotherapy, Repression, Sexual behavior, Sexuality","New Jersey, New York, Newark, United States"
185,2651,The End of the Affair,Graham Greene,1951,British,English,160-200,63000,185,1280,"Drama, Fiction, Literary Fiction, Psychological, Romance, Social & Cultural Fiction","Betrayal, Faith, Guilt, Infidelity, Jealousy, Love, Obsession, Redemption","England, London"
186,99,White Teeth,Zadie Smith,2000,British,English,448-560,169000,186,1273,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction","Ethics, Family, Family dynamics, Generational Conflict, Immigrants, Immigration, Multiculturalism, Race relations, Science, race","England, Great Britain, London"
187,101,An American Tragedy,Theodore Dreiser,1925,American,English,800-900,215000,187,1272,"Crime, Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Ambition, Family, Family dynamics, Guilt, History, Interpersonal relations, Justice, Love, class, morality, realism, relationships","New York, United States"
188,952,The Good Soldier Svejk,Jaroslav Hašek,1921,Czech,Czech,600-750,208000,188,1270,"Absurdist, Fiction, Humor, Picaresque, Satire, military fiction","Authority, Bureaucracy, Disobedience, Friendship, Loyalty, Military, War, World War I","Austria-Hungary, Czech Republic, Prague"
189,2260,The Once and Future King,T. H. White,1958,British,English,600-700,288000,189,1270,"Arthurian, Fantasy, Fiction, High Fantasy, Historical fiction, Speculative Fiction","Chivalry, Destiny, Education, Identity, Leadership, Power, Transformation, morality","England, Fictional Location, Great Britain"
190,1497,Communist Manifesto,"Karl Marx, Friedrich Engels",1848,German,German,30-40,19000,190,1268,"Nonfiction, Political, Social & Cultural Fiction, philosophical","American History, Class Struggle, Economics, Exploitation, Historical Materialism, History, Political Ideologies, Proletariat, Revolution, Socialism, bourgeoisie","Germany, United Kingdom"
191,731,The Autobiography of Malcolm X,Alex Haley,1965,American,English,460-500,134000,191,1267,"Autobiography, Biography, Cultural, Nonfiction, Political","Activism, African American History, American History, Civil rights, Empowerment, Family, History, Identity, Injustice, Racism, Transformation","Boston, Harlem, Lansing, Massachusetts, Mecca, Michigan, Nebraska, New York, New York City, Omaha, Saudi Arabia, United States"
192,936,The Counterfeiters,André Gide,1925,French,French,200-400,95000,192,1260,"Allegorical, Coming of age, Experimental, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction","Adolescence, Deception, Education, Family, Friendship, Lgbtq+, Psychology, homosexuality, morality","France, Paris"
193,931,Fathers and Sons,Ivan Turgenev,1862,Russian,Russian,200-300,64000,193,1256,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, philosophical","Death, Family, Friendship, Generational Conflict, Nihilism, Romantic Relationships, Science, Social change, tradition",Russia
194,2,All the King's Men,Robert Penn Warren,1946,American,English,400-500,286000,194,1249,"Fiction, Literary Fiction, Political, Social & Cultural Fiction, Tragedy","Ambition, Betrayal, Friendship, Guilt, Idealism, Politics, Power, Redemption, Southern Gothic, corruption, morality","Louisiana, Southern US, United States"
195,155,My Antonia,Willa Cather,1918,American,English,200-400,99780,195,1242,"Coming of age, Fiction, Frontier and pioneer life, Historical fiction, Literary Fiction, Social & Cultural Fiction","Agriculture, Community, Family, Farm life, Friendship, Hardship, History, Immigration, Nostalgia, Pioneers, Resilience","Nebraska, United States"
196,475,Gargantua and Pantagruel,Francois Rabelais,1532,French,French,1000-1200,240000,196,1233,"Dark, Fiction, Literary Fiction, Picaresque, Postmodern, Satire, Travel, philosophical","Carnival, Education, Folly, Friendship, Giantism, Humanism, Wisdom",Fictional Location
197,539,A Christmas Carol,Charles Dickens,1843,British,English,28-116,28945,197,1229,"Allegorical, Fiction, Inspirational, Supernatural, Victorian","Christmas Spirit, Family, Generosity, History, Holidays, Poverty, Redemption, Regret, Transformation, compassion","England, Great Britain, London"
198,550,A Tale of Two Cities,Charles Dickens,1859,British,English,200-500,135420,198,1226,"Drama, Fiction, Historical fiction, Literary Fiction, Travel, Victorian","Betrayal, Class Struggle, Family, French Revolution, Friendship, Identity, Imprisonment, Justice, Resurrection, Revolution, Sacrifice","England, France, London, Paris"
199,537,Anne of Green Gables,L. M. Montgomery,1908,Canadian,English,300-400,97000,199,1222,"Children's books, Coming of age, Family & Relationships, Fiction, Historical fiction, Literary Fiction","Adoption, Community, Country life, Dreams, Education, Family, Farm life, Friendship, Growth, Interpersonal relations, Juvenile, Teachers, imagination, orphans","Canada, Prince Edward Island"
200,44,A House for Mr. Biswas,V. S. Naipaul,1961,Trinidadian,English,350-500,206000,200,1214,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction","Ambition, Family, Family dynamics, Journalists, Marriage, Poverty, Self-discovery, Struggle, colonialism, tradition","Fictional Location, Independence, Trinidad"
201,230,U.S.A. Trilogy,John Dos Passos,1930,American,English,1200-1500,310000,201,1206,"Experimental, Fiction, Historical fiction, Literary Fiction, Modernist, Postmodern, Social & Cultural Fiction","American dream, Disillusionment, Economics, Individualism, Industrialization, Labor movement, Modernity, Social Class, World War I","Chicago, New York, United States"
202,14,Blood Meridian,Cormac McCarthy,1985,American,English,300-350,98000,202,1203,"Dark, Fiction, Historical fiction, Literary Fiction, Picaresque, Westerns, philosophical","Chaos, Existentialism, Manifest Destiny, Survival, Violence, human nature, isolation, morality","Mexico, United States"
